PartType                                RefDes                        PartDecal                                Pins      Layer                          Orient.                        X                              Y                             SMD       Glued
RSM-200R-1PCT-100MW-0603                R2                            R0603                                    2         Bottom                         0                              2400                           2080                          True      False     
RSM-200R-1PCT-100MW-0603                R3                            R0603                                    2         Bottom                         180                            2530                           2080                          True      False     
RSM-10K0-1PCT-100MW-0603                R4                            R0603                                    2         Bottom                         270                            350                            1590                          True      False     
RSM-0R0-1PCT-125MW-0603                 R5                            R0603                                    2         Bottom                         0                              1880                           2360                          True      False     
RSM-6K98-1PCT-250MW-1206                R6                            R1206                                    2         Bottom                         270                            420                            2340                          True      False     
RSM-6K98-1PCT-250MW-1206                R7                            R1206                                    2         Bottom                         90                             330                            2160                          True      False     
RSM-6K98-1PCT-250MW-1206                R8                            R1206                                    2         Bottom                         90                             330                            2340                          True      False     
RSM-1K00-1PCT-100MW-0603                R9                            R0603                                    2         Top                            270                            820                            2360                          True      False     
RSM-150R-1PCT-100MW-0603                R10                           R0603                                    2         Top                            180                            380                            1150                          True      False     
RSM-150R-1PCT-100MW-0603                R11                           R0603                                    2         Top                            180                            380                            1220                          True      False     
RSM-6K81-1PCT-100MW-0603                R12                           R0603                                    2         Bottom                         180                            1440                           2020                          True      False     
RSM-200R-1PCT-100MW-0603                R13                           R0603                                    2         Bottom                         0                              1700                           2080                          True      False     
RSM-200R-1PCT-100MW-0603                R14                           R0603                                    2         Bottom                         180                            1830                           2080                          True      False     
RSM-22R1-1PCT-100MW-0603                R15                           R0603                                    2         Bottom                         180                            520                            710                           True      False     
RSM-200R-1PCT-100MW-0603                R16                           R0603                                    2         Bottom                         90                             1130                           1820                          True      False     
RSM-200R-1PCT-100MW-0603                R17                           R0603                                    2         Bottom                         180                            1020                           1860                          True      False     
RSM-200R-1PCT-100MW-0603                R18                           R0603                                    2         Bottom                         90                             1130                           1670                          True      False     
RSM-200R-1PCT-100MW-0603                R19                           R0603                                    2         Bottom                         0                              1020                           1590                          True      False     
RSM-10K0-1PCT-100MW-0603                R20                           R0603                                    2         Bottom                         180                            240                            1630                          True      False     
RSM-0R0-1PCT-125MW-0603                 R21                           R0603                                    2         Bottom                         180                            520                            770                           True      False     
RSM-22R1-1PCT-100MW-0603                R22                           R0603                                    2         Bottom                         180                            520                            650                           True      False     
RSM-1K00-1PCT-100MW-0603                R23                           R0603                                    2         Top                            90                             820                            2220                          True      False     
RSM-1K00-1PCT-100MW-0603                R24                           R0603                                    2         Top                            0                              880                            1910                          True      False     
RSM-51R1-1PCT-100MW-0603                R25                           R0603                                    2         Top                            270                            890                            2220                          True      False     
RSM-51R1-1PCT-100MW-0603                R26                           R0603                                    2         Top                            90                             890                            2360                          True      False     
RSM-1K00-1PCT-100MW-0603                R27                           R0603                                    2         Top                            0                              880                            1550                          True      False     
RSM-0R0-1PCT-125MW-0603                 R28                           R0603                                    2         Top                            0                              1200                           2480                          True      False     
